"nct_id","nlm_download_date_description","study_first_submitted_date","results_first_submitted_date","disposition_first_submitted_date","last_update_submitted_date","study_first_submitted_qc_date","study_first_posted_date","study_first_posted_date_type","results_first_submitted_qc_date","results_first_posted_date","results_first_posted_date_type","disposition_first_submitted_qc_date","disposition_first_posted_date","disposition_first_posted_date_type","last_update_submitted_qc_date","last_update_posted_date","last_update_posted_date_type","start_month_year","start_date_type","start_date","verification_month_year","verification_date","completion_month_year","completion_date_type","completion_date","primary_completion_month_year","primary_completion_date_type","primary_completion_date","target_duration","study_type","acronym","baseline_population","brief_title","official_title","overall_status","last_known_status","phase","enrollment","enrollment_type","source","limitations_and_caveats","number_of_arms","number_of_groups","why_stopped","has_expanded_access","expanded_access_type_individual","expanded_access_type_intermediate","expanded_access_type_treatment","has_dmc","is_fda_regulated_drug","is_fda_regulated_device","is_unapproved_device","is_ppsd","is_us_export","biospec_retention","biospec_description","ipd_time_frame","ipd_access_criteria","ipd_url","plan_to_share_ipd","plan_to_share_ipd_description","created_at","updated_at","source_class","delayed_posting","expanded_access_nctid","expanded_access_status_for_nctid","fdaaa801_violation","baseline_type_units_analyzed","patient_registry"
"NCT00709735",NA,"2008-06-30","2012-05-01",NA,"2017-04-06","2008-07-02","2008-07-03","ESTIMATED","2017-04-06","2017-04-10","ACTUAL",NA,NA,NA,"2017-04-06","2017-04-10","ACTUAL","2007-05","ACTUAL","2007-05-31","2017-04","2017-04-30","2010-08","ACTUAL","2010-08-31","2010-02","ACTUAL","2010-02-28",NA,"INTERVENTIONAL",NA,"All randomized participants who completed the study.","A Psychophysiologic Study of Weakening Traumatic Combat Memories With Post-Reactivation Propranolol","A Psychophysiologic Study of Weakening Traumatic Combat Memories With Post-Reactivation Propranolol","COMPLETED",NA,"PHASE4",23,"ACTUAL","Massachusetts General Hospital","Small participant sample due to recruitment difficulties.",2,NA,NA,"f",NA,NA,NA,"f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2024-09-15 00:32:43.143115","2024-09-15 00:32:43.143115","OTHER",NA,NA,NA,NA,NA,NA
"NCT01364298",NA,"2011-05-31","2013-07-30",NA,"2013-12-18","2011-06-01","2011-06-02","ESTIMATED","2013-12-18","2014-02-06","ESTIMATED",NA,NA,NA,"2013-12-18","2014-02-06","ESTIMATED","2011-04",NA,"2011-04-30","2013-12","2013-12-31","2012-07","ACTUAL","2012-07-31","2012-07","ACTUAL","2012-07-31",NA,"INTERVENTIONAL",NA,"Safety population included all the randomized participants who received at least one dose of study drug.","Efficacy and Safety of Gabapentin/B-complex Versus Pregabalin in Diabetic Peripheral Neuropathy Pain Management","Multicenter, Randomized, Open-label, Parallel Group, Phase IV Study to Compare the Efficacy and Safety of Gabapentin/B-complex Versus Pregabalin in the Management of Diabetic Peripheral Neuropathic Pain","COMPLETED",NA,"PHASE4",353,"ACTUAL","Merck KGaA, Darmstadt, Germany",NA,2,NA,NA,"f",NA,NA,NA,"t",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2024-09-15 00:32:43.143115","2024-09-15 00:32:43.143115","INDUSTRY",NA,NA,NA,NA,NA,NA
"NCT03122119",NA,"2017-04-16","2023-03-18",NA,"2023-04-26","2017-04-19","2017-04-20","ACTUAL","2023-04-26","2023-04-28","ACTUAL",NA,NA,NA,"2023-04-26","2023-04-28","ACTUAL","2017-05-01","ACTUAL","2017-05-01","2023-04","2023-04-30","2022-09-01","ACTUAL","2022-09-01","2020-03-01","ACTUAL","2020-03-01",NA,"INTERVENTIONAL",NA,"not different from the assignment in participant flow","Effectiveness of Ultrasound Guided Platelet Rich Plasma Injections in the Sacroiliac Joint","Effectiveness of Ultrasound Guided Platelet Rich Plasma Injections in the Sacroiliac Joint to Relieve Low Back Pain","COMPLETED",NA,"PHASE4",51,"ACTUAL","Star Spine and Sport",NA,1,NA,NA,"f",NA,NA,NA,"t","t","f",NA,NA,"f",NA,NA,NA,NA,NA,"NO",NA,"2024-09-16 11:36:05.560137","2024-09-16 11:36:05.560137","OTHER",NA,NA,NA,NA,NA,NA
"NCT03324880",NA,"2017-10-10","2023-05-03",NA,"2023-05-12","2017-10-24","2017-10-30","ACTUAL","2023-05-12","2023-06-09","ACTUAL",NA,NA,NA,"2023-05-12","2023-06-09","ACTUAL","2018-01-24","ACTUAL","2018-01-24","2023-05","2023-05-31","2022-05-19","ACTUAL","2022-05-19","2022-05-19","ACTUAL","2022-05-19",NA,"INTERVENTIONAL",NA,"Safety Analysis Set included all participants in the Intention-to-Treat (ITT) Set who took at least 1 dose of investigational product (study drug or placebo).","A Study to Learn if Recombinant Human Parathyroid Hormone [rhPTH(1-84)] Can Improve Symptoms and Metabolic Control in Adults With Hypoparathyroidism (BALANCE)","A Randomized, Double-blind, Placebo-controlled, Adaptive Study to Evaluate Symptom Improvement and Metabolic Control Among Adult Subjects With Symptomatic Hypoparathyroidism Treated With Recombinant Human Parathyroid Hormone [rhPTH(1-84)]","COMPLETED",NA,"PHASE4",93,"ACTUAL","Takeda",NA,2,NA,NA,"f",NA,NA,NA,"f","t","f",NA,NA,NA,NA,NA,NA,"IPD from eligible studies will be shared with qualified researchers according to the criteria and process described on https://vivli.org/ourmember/takeda/. For approved requests, the researchers will be provided access to anonymized data (to respect patient privacy in line with applicable laws and regulations) and with information necessary to address the research objectives under the terms of a data sharing agreement.","https://vivli.org/ourmember/takeda/","YES","Takeda provides access to the de-identified individual participant data (IPD) for eligible studies to aid qualified researchers in addressing legitimate scientific objectives (Takeda's data sharing commitment is available on https://clinicaltrials.takeda.com/takedas-commitment?commitment=5). These IPDs will be provided in a secure research environment following approval of a data sharing request, and under the terms of a data sharing agreement.","2024-09-16 11:36:05.560137","2024-09-16 11:36:05.560137","INDUSTRY",NA,NA,NA,NA,NA,NA
"NCT01453374",NA,"2011-10-13","2015-05-21",NA,"2015-06-19","2011-10-13","2011-10-17","ESTIMATED","2015-06-19","2015-07-13","ESTIMATED",NA,NA,NA,"2015-06-19","2015-07-13","ESTIMATED","2011-01",NA,"2011-01-31","2015-06","2015-06-30","2014-05","ACTUAL","2014-05-31","2014-05","ACTUAL","2014-05-31",NA,"INTERVENTIONAL",NA,"All subjects who received at least 1 injection of VIVITROL","A Study of VIVITROL in the Prevention of Re-arrest and Re-incarceration","A Phase 4, Pilot, Open-label Study of VIVITROL in the Prevention of Re-arrest and Re-incarceration","COMPLETED",NA,"PHASE4",27,"ACTUAL","Alkermes, Inc.","The outcome measure of opioid dependence was not analyzed.",1,NA,NA,"f",NA,NA,NA,"f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2024-09-15 00:32:43.143115","2024-09-15 00:32:43.143115","INDUSTRY",NA,NA,NA,NA,NA,NA
"NCT02007278",NA,"2013-12-05","2017-02-23",NA,"2017-04-13","2013-12-05","2013-12-10","ESTIMATED","2017-04-13","2017-07-11","ACTUAL",NA,NA,NA,"2017-04-13","2017-07-11","ACTUAL","2014-01-03","ACTUAL","2014-01-03","2017-04","2017-04-30","2016-02-22","ACTUAL","2016-02-22","2016-02-22","ACTUAL","2016-02-22",NA,"INTERVENTIONAL","GLOBE","Randomized set","Glycemic Excursions in Type 2 Diabetic Patients With Vildagliptin and Metformin Versus Vildagliptin and Glimepiride","Glycemic Excursions in Type 2 Diabetic Patients Treated With Vildagliptin and Metformin (GalvusMet) Versus Glimepiride and Metformin","COMPLETED",NA,"PHASE4",40,"ACTUAL","Novartis",NA,2,NA,NA,"f",NA,NA,NA,"f","f","f",NA,NA,NA,NA,NA,NA,NA,NA,"UNDECIDED",NA,"2024-09-15 12:18:05.040516","2024-09-15 12:18:05.040516","INDUSTRY",NA,NA,NA,NA,NA,NA
"NCT00048165",NA,"2002-10-24","2016-05-04",NA,"2016-05-04","2002-10-24","2002-10-25","ESTIMATED","2016-05-04","2016-06-13","ESTIMATED",NA,NA,NA,"2016-05-04","2016-06-13","ESTIMATED","1999-08",NA,"1999-08-31","2016-05","2016-05-31","2002-08","ACTUAL","2002-08-31","2002-08","ACTUAL","2002-08-31",NA,"INTERVENTIONAL",NA,"The randomized population included all participants who were randomized into the study, whether they received the study drug or not.","A Study to Evaluate the Efficacy and Safety of Zenapax in Combination With CellCept, Cyclosporine, and Corticosteroids in Patients Undergoing Cardiac Transplantation","A Double-Blind, Placebo -Controlled, Randomized Study to Assess the Efficacy and Safety of Zenapax in Combination With CellCept, Cyclosporine, and Corticosteroids in Patients Undergoing Cardiac Transplantation.","COMPLETED",NA,"PHASE4",434,"ACTUAL","Hoffmann-La Roche",NA,2,NA,NA,"f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2024-09-15 12:18:05.040516","2024-09-15 12:18:05.040516","INDUSTRY",NA,NA,NA,NA,NA,NA
"NCT03810235",NA,"2019-01-07","2020-07-09",NA,"2022-10-28","2019-01-16","2019-01-18","ACTUAL","2020-08-19","2020-09-07","ACTUAL",NA,NA,NA,"2022-10-28","2022-11-01","ACTUAL","2019-02-15","ACTUAL","2019-02-15","2022-10","2022-10-31","2019-11-30","ACTUAL","2019-11-30","2019-09-09","ACTUAL","2019-09-09",NA,"INTERVENTIONAL","OBLido","baseline characteristics for participants who completed the study","The OBstetric Lidocaine Patch (OBLido) Trial","Transdermal Lidocaine Patch for Post-Cesarean Pain Control for Women With Obesity: a Single-blind Randomized Controlled Trial","COMPLETED",NA,"PHASE4",66,"ACTUAL","University of Wisconsin, Madison",NA,2,NA,NA,"f",NA,NA,NA,"t","t","f",NA,NA,"t",NA,NA,NA,NA,NA,"NO",NA,"2024-09-15 12:18:05.040516","2024-09-15 12:18:05.040516","OTHER",NA,NA,NA,NA,NA,NA
"NCT01473394",NA,"2011-11-14","2014-02-21",NA,"2014-02-21","2011-11-16","2011-11-17","ESTIMATED","2014-02-21","2014-04-03","ESTIMATED",NA,NA,NA,"2014-02-21","2014-04-03","ESTIMATED","2011-12",NA,"2011-12-31","2014-02","2014-02-28","2013-02","ACTUAL","2013-02-28","2013-02","ACTUAL","2013-02-28",NA,"INTERVENTIONAL",NA,"Safety population: All randomized participants who received at least 1 dose of double-blind investigational product.","Safety, Efficacy, and Tolerability of Vilazodone in Major Depressive Disorder","A Double-blind, Placebo-controlled, Fixed-dose Study of Vilazodone in Patients With Major Depressive Disorder","COMPLETED",NA,"PHASE4",518,"ACTUAL","Forest Laboratories",NA,2,NA,NA,"f",NA,NA,NA,"f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2024-09-15 12:18:05.040516","2024-09-15 12:18:05.040516","INDUSTRY",NA,NA,NA,NA,NA,NA
"NCT00502853",NA,"2007-07-17","2014-07-16",NA,"2017-07-07","2007-07-17","2007-07-18","ESTIMATED","2015-03-10","2015-03-12","ESTIMATED",NA,NA,NA,"2017-07-07","2017-08-16","ACTUAL","2007-10-25","ACTUAL","2007-10-25","2017-06","2017-06-30","2010-07-23","ACTUAL","2010-07-23","2010-07-23","ACTUAL","2010-07-23",NA,"INTERVENTIONAL",NA,"Safety population: all participants who received any part of an infusion of study drug.","A Pilot Study of MabThera (Rituximab) Evaluated by MRI in Patients With Rheumatoid Arthritis.","Pilot Study to Evaluate the Effect of Mabthera in Combination With MTX in the Inhibition of Progression of Synovitis, Bone Marrow Edema, and Erosions Evaluated by Magnetic Resonance Imaging (MRI) in the Hand of Patients With Rheumatoid Arthritis.","COMPLETED",NA,"PHASE4",10,"ACTUAL","Hoffmann-La Roche",NA,1,NA,NA,"f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2024-09-15 12:24:53.847654","2024-09-15 12:24:53.847654","INDUSTRY",NA,NA,NA,NA,NA,NA
