"source","target","type"
"1687238","6767","IS_A_CONTRAINDICATION_FOR"
"1687238","8346","IS_A_CONTRAINDICATION_FOR"
"1687238","8180","IS_A_CONTRAINDICATION_FOR"
"1687238","976","IS_A_CONTRAINDICATION_FOR"
"1687238","1694956","IS_A_CONTRAINDICATION_FOR"
"1687238","8243","IS_A_CONTRAINDICATION_FOR"
"1687238","5301","IS_A_CONTRAINDICATION_FOR"
"1687238","1695004","IS_A_CONTRAINDICATION_FOR"
"1687238","7813","IS_A_CONTRAINDICATION_FOR"
"1687238","8326","IS_A_CONTRAINDICATION_FOR"
"1687238","1695104","IS_A_CONTRAINDICATION_FOR"
"1687238","1695105","IS_A_CONTRAINDICATION_FOR"
"1687238","8341","IS_A_CONTRAINDICATION_FOR"
"1687238","1695106","IS_A_CONTRAINDICATION_FOR"
"1687238","1695107","IS_A_CONTRAINDICATION_FOR"
"1687238","5751","IS_A_CONTRAINDICATION_FOR"
"1687238","10560","IS_A_CONTRAINDICATION_FOR"
"1687238","1695252","IS_A_CONTRAINDICATION_FOR"
"1687238","5841","IS_A_CONTRAINDICATION_FOR"
"1687238","10741","IS_A_CONTRAINDICATION_FOR"
"1687238","10740","IS_A_CONTRAINDICATION_FOR"
"1687238","1695544","IS_A_CONTRAINDICATION_FOR"
"1693269","1695126","IS_A_CONTRAINDICATION_FOR"
"1693269","8097","IS_A_CONTRAINDICATION_FOR"
"1693269","5826","IS_A_CONTRAINDICATION_FOR"
"1693269","5250","IS_A_CONTRAINDICATION_FOR"
"1693269","5202","IS_A_CONTRAINDICATION_FOR"
"1693269","1695125","IS_A_CONTRAINDICATION_FOR"
"1693269","626","IS_A_CONTRAINDICATION_FOR"
"1693269","1695025","IS_A_CONTRAINDICATION_FOR"
"1693269","5531","IS_A_CONTRAINDICATION_FOR"
"1693269","10557","IS_A_CONTRAINDICATION_FOR"
"1693269","10534","IS_A_CONTRAINDICATION_FOR"
"1693269","7500","IS_A_CONTRAINDICATION_FOR"
"1693269","6700","IS_A_CONTRAINDICATION_FOR"
"1693269","9018","IS_A_CONTRAINDICATION_FOR"
"1693269","1694899","IS_A_CONTRAINDICATION_FOR"
"1693576","6078","IS_AN_INDICATION_FOR"
"1690561","1695198","IS_AN_INDICATION_FOR"
"1690561","1695196","IS_AN_INDICATION_FOR"
"1690561","1695079","IS_A_CONTRAINDICATION_FOR"
